NRSCE 109,Gerontology & Community Based Nursing,Tu 9:00AM - 11:05AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 110,Psychiatric-Mental  Health Nursing,Th 9:00AM - 12:35PM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 110,Psychiatric-Mental  Health Nursing,Th 9:00AM - 12:10PM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 111,Reproductive Nursing And Womens Health,Th 9:45AM - 12:20PMMo 9:00AM - 10:50AM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 111,Reproductive Nursing And Womens Health,Th 9:00AM - 11:15AMMo 9:45AM - 11:35AM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 112,Care Of Children And Family,Mo 1:00PM - 2:50PMTh 8:20AM - 11:10AM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 112,Care Of Children And Family,Mo 1:00PM - 2:15PMTh 8:20AM - 11:10AM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NURSING 056,Essential Practical Skills For Nurse Assistants,MoWe 8:00AM - 4:00PM,05/08/2019 - 05/13/2019,Los Angeles Mission College,NURSING,"13356 Eldridge Avenue, Sylmar, CA 91342"
NURSING 185,Directed Study - Nursing,Mo 7:55AM - 9:00AMMo 9:00AM - 10:05AMMo 7:55AM - 9:00AMMo 9:00AM - 10:05AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/201902/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 185,Directed Study - Nursing,Mo 10:10AM - 11:15AMMo 10:10AM - 11:15AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 185,Directed Study - Nursing,Mo 11:20AM - 12:25PMMo 11:20AM - 12:25PM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 252,Mathematics Of Drugs And Solutions,Fr 10:00AM - 3:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 265,Fundamentals Of Nursing,Mo 7:00AM - 12:05PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 265,Fundamentals Of Nursing,ThFr 7:00AM - 3:05PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 265,Fundamentals Of Nursing,Mo 7:00AM - 12:05PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 265,Fundamentals Of Nursing,TuWe 7:00AM - 1:30PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 265,Fundamentals Of Nursing,Mo 7:00AM - 12:05PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 265,Fundamentals Of Nursing,TuWe 7:00AM - 2:05PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 266,Nrsng Process & Practice In The Care Of The Adult Client I,Mo 7:00AM - 11:15AM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 266,Nrsng Process & Practice In The Care Of The Adult Client I,TuWeFr 7:00AM - 11:15AM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 266,Nrsng Process & Practice In The Care Of The Adult Client I,Mo 7:00AM - 11:15AM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 266,Nrsng Process & Practice In The Care Of The Adult Client I,ThFr 7:00AM - 1:30PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 266,Nrsng Process & Practice In The Care Of The Adult Client I,Mo 7:00AM - 11:15AM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 266,Nrsng Process & Practice In The Care Of The Adult Client I,TuWe 7:00AM - 1:30PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 267,Nursing Process And Practice In The Care Of The Adult Client II,Mo 9:00AM - 1:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 267,Nursing Process And Practice In The Care Of The Adult Client II,Th 5:00AM - 8:10PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 267,Nursing Process And Practice In The Care Of The Adult Client II,Mo 9:00AM - 1:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 267,Nursing Process And Practice In The Care Of The Adult Client II,Fr 5:00AM - 10:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 267,Nursing Process And Practice In The Care Of The Adult Client II,Mo 9:00AM - 1:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 267,Nursing Process And Practice In The Care Of The Adult Client II,Th 5:00AM - 6:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Tu 4:00PM - 8:15PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Th 7:00AM - 10:10PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Tu 4:00PM - 8:15PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Su 2:25PM - 9:50PMSu 7:00AM - 2:25PM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Tu 4:00PM - 8:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Th 6:50AM - 8:05PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Tu 4:00PM - 8:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 268,Nrsng Process & Practice In The Care Of Clients With Alterat,Su 7:00AM - 8:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,Tu 9:00AM - 3:30PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,ThFr 7:00AM - 3:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,Tu 9:00AM - 3:30PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,ThFr 12:00PM - 10:10PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,Tu 8:00AM - 2:30PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,ThFr 6:45AM - 2:55PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,Tu 8:00AM - 2:30PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 269,Nrsng Process & Practice In The Care Of The Adult Client III,ThFr 7:00AM - 3:10PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,Mo 7:45AM - 12:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,TuWe 3:00PM - 9:30PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,Mo 7:45AM - 12:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,WeTh 3:00PM - 10:05PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,Mo 7:45AM - 12:00PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,TuWe 3:00PM - 9:30PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,Mo 7:45AM - 12:00PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,ThFr 3:00PM - 9:30PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,Mo 7:45AM - 12:00PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,ThFr 3:00PM - 9:30PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,Mo 7:45AM - 12:50PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 270,Nrsng Process & Practice In The Care Of Children,ThFr 3:00PM - 11:05PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,We 7:45AM - 12:00PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,Th 7:00AM - 10:10PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,We 7:45AM - 12:00PM,02/04/2019 - 04/07/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,Su 7:00AM - 10:10PM,02/04/2019 - 04/07/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,We 7:45AM - 12:00PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,Th 5:00AM - 8:10PM,02/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,We 7:45AM - 12:00PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,Th 7:00AM - 8:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,We 7:45AM - 12:00PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,Fr 7:00AM - 8:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,We 7:45AM - 12:00PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,Su 7:00AM - 8:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,We 7:45AM - 12:00PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 271,Nrsng Process & Practice In The Care Of Women & The Newborn,Th 7:00AM - 8:15PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,MoWe 1:00PM - 4:20PM,02/04/2019 - 04/07/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,SaSu 7:00AM - 6:20PM,02/04/2019 - 04/07/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,MoWe 1:00PM - 4:20PM,02/04/2019 - 04/07/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,Sa 7:00AM - 8:05PMSu 7:00AM - 6:15PM,02/04/2019 - 04/07/201902/04/2019 - 03/27/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,MoWe 1:00PM - 4:20PM,02/04/2019 - 04/07/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,SaSu 7:00AM - 6:20PM,02/04/2019 - 04/07/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,TuTh 1:00PM - 4:10PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,SaSu 7:00AM - 4:50PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,TuTh 1:00PM - 4:10PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 272,Nrsng Process & Practice In The Care Of The Adult Client Iv,SaSu 7:00AM - 4:50PM,04/08/2019 - 06/03/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 273,Role Transition,Sa 8:00AM - 11:50AMSa 1:00PM - 5:50PM,03/09/2019 - 03/09/201903/09/2019 - 03/09/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 273,Role Transition,Sa 8:00AM - 12:05PMSa 1:00PM - 5:25PM,05/18/2019 - 05/18/201905/18/2019 - 05/18/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 274,Role Transition II,Mo 4:40PM - 6:45PM,03/04/2019 - 03/25/2019,Instructional Television,NURSING,Instructional Television
NURSING 274,Role Transition II,Mo 3:50PM - 5:55PM,04/29/2019 - 05/24/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 274,Role Transition II,Mo 3:50PM - 5:55PM,04/29/2019 - 05/24/2019,East Los Angeles College,NURSING,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
NURSING 302,Mathematics Of Drugs And Solutions,Tu 1:00PM - 4:10PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 311,Communication In Nursing,Mo 2:00PM - 5:20PM,02/04/2019 - 03/11/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 313,Introduction To Nursing Practice,Mo 10:10AM - 12:30PMWe 8:00AM - 10:30AM,01/28/2019 - 03/20/201901/28/2019 - 03/20/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 313,Introduction To Nursing Practice,Th 6:30AM - 3:30PMFr 6:30AM - 1:30PMTh 6:30AM - 3:30PMFr 6:30AM - 1:30PMTh 6:30AM - 3:30PMFr 7:30AM - 2:00PMTh 6:30AM - 3:30PMFr 7:30AM - 2:00PMWe 10:35AM - 11:05AM,01/28/2019 - 03/20/201901/28/2019 - 03/20/201901/28/2019 - 03/20/201901/28/2019 - 03/20/201901/28/2019 - 03/20/201901/28/2019 - 03/20/201901/28/2019 - 03/20/201901/28/2019 - 03/20/201901/28/2019 - 03/20/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 315,Fundamentals Of Nursing Process And Practice,Mo 10:10AM - 12:30PMWe 8:00AM - 10:30AM,03/21/2019 - 05/24/201903/21/2019 - 05/24/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 315,Fundamentals Of Nursing Process And Practice,Th 6:30AM - 3:30PMFr 6:30AM - 1:30PMTu 6:30AM - 3:30PMWe 6:30AM - 1:30PMTu 6:30AM - 3:30PMWe 6:30AM - 1:30PMWe 10:35AM - 11:05AM2Hr 50Min /Wk TBA Th 6:30AM - 3:30PMFr 6:30AM - 1:30PM,03/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/201903/21/2019 - 05/24/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 318,Patient Care Seminar I,Th 9:00AM - 11:00AMTh 1:00PM - 3:00PMMo 12:30PM - 12:30PM,02/04/2019 - 06/03/201902/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 318,Patient Care Seminar I,We 12:10PM - 1:00PMMo 7:50AM - 10:05AMMo 7:50AM - 10:05AM,02/04/2019 - 05/02/201902/04/2019 - 05/02/201902/04/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 321,Nursing Process,Tu 9:00AM - 12:00PM,02/05/2019 - 03/12/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 323,Nursing Process & Practice In The Care Of Adult Client I,Mo 8:00AM - 10:25AMMo 2:00PM - 4:05PMWe 1:20PM - 3:30PM,02/04/2019 - 03/28/201902/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 323,Nursing Process & Practice In The Care Of Adult Client I,5Hr 50Min /Wk TBA Tu 6:30AM - 3:30PMWe 6:30AM - 12:00PMTh 6:30AM - 12:00PMFr 6:30AM - 3:30PMFr 6:30AM - 7:30PMTu 6:30AM - 3:30PMWe 6:30AM - 12:00PMTu 6:30AM - 7:30PMFr 6:30AM - 12:00PMSa 6:30AM - 3:30PM,02/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/201902/04/2019 - 03/28/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 325,Nursing Process & Practice In The Care Of Adult Client II,Mo 8:00AM - 10:05AMWe 1:20PM - 3:30PMMo 2:00PM - 4:05PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 325,Nursing Process & Practice In The Care Of Adult Client II,Tu 6:30AM - 3:30PMWe 6:30AM - 12:00PMTu 6:30AM - 7:30PMTh 6:30AM - 3:30PMFr 6:30AM - 12:00PMTu 6:30AM - 3:30PMWe 6:30AM - 12:00PM5Hr 50Min /Wk TBA Fr 6:30AM - 3:30PMSa 6:30AM - 12:00PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 329A,Role Transition Lvn To Rn,Th 9:00AM - 12:00PM,02/07/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 329B,Role Transition Lvn To Rn,Th 9:00AM - 12:00PM,03/21/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 333,Nursing Process & Practice In Health Care Of Women/Families,Mo 8:00AM - 10:05AMTh 12:00PM - 2:35PM,02/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 333,Nursing Process & Practice In Health Care Of Women/Families,Tu 6:30AM - 7:30PMTu 6:30AM - 7:30PM6Hr 20Min /Wk TBA Th 2:35PM - 3:10PM,02/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 333,Nursing Process & Practice In Health Care Of Women/Families,Mo 8:00AM - 9:50AMTh 12:00PM - 2:35PM,03/15/2019 - 05/03/201903/15/2019 - 05/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 333,Nursing Process & Practice In Health Care Of Women/Families,Th 2:35PM - 3:10PMTu 6:30AM - 7:30PM7Hr 0Min /Wk TBA Tu 6:30AM - 7:30PM,03/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 335,Nursing Process And Practice In The Care Of Children,Mo 8:50AM - 12:10PMTh 10:00AM - 11:35AM,02/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 335,Nursing Process And Practice In The Care Of Children,Tu 6:30AM - 1:30PMWe 6:30AM - 1:30PMTu 6:30AM - 7:30PM2Hr 10Min /Wk TBA Sa 6:30AM - 7:30AMTh 11:35AM - 12:10PM,02/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 335,Nursing Process And Practice In The Care Of Children,Mo 8:50AM - 12:10PMTh 10:00AM - 11:35AM,03/15/2019 - 05/02/201903/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 335,Nursing Process And Practice In The Care Of Children,We 6:30AM - 1:30PMTu 6:30AM - 1:30PMTu 6:30AM - 7:30PM2Hr 10Min /Wk TBA Th 11:40AM - 12:10PM,03/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 339,Nursing Proc & Practice In The Care Of The Geriatric Client,Mo 8:00AM - 12:15PM,05/06/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
